maleblackageagerange10,0,0,0,191,5867,6230,6230,6230,6230,6230,6230,6230,6230,6230,6287,8476,8476,8476,8476,8476,8476,8476,8476,8476,10120,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,12941,13667,13667,13667,13667,13667,13949,15987,15987,15987,15987,15987,15987,16024,18482,18482,18482,18482,18482,18482,18482,19448,20893,20893,21866,23634,23634,24304,25798,25798,25798,25798,27104,28479,28479,28903,30740,30740,31860,33838,35696,35696,35696,35696,35696,35696,35751,38453,38453,38453,42031,43527,44653,46107,46107,48534,50723,53136,73365,75048,79272,81027,88635,153103,207890
maleblackageagerange11,0,0,0,0,2631,4067,6230,6230,6230,6230,6230,6230,6230,7205,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,10043,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,12337,13667,13667,13667,13667,13667,13667,13667,14476,15987,15987,15987,18133,18482,18482,18482,18482,18482,18482,18482,18482,20762,20893,20893,20893,20893,20893,20893,21424,23634,24187,25798,25798,25798,25798,28458,30354,30740,30740,30740,30740,32737,35696,35696,37598,38785,42755,46107,49864,50723,70556,73365,75685,76857
maleblackageagerange12,0,0,44,274,274,2780,3573,3573,3573,3573,3573,3573,3886,6230,6230,6230,6230,6230,6230,6230,6230,6230,6230,6230,6230,6269,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,10377,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,11068,12713,13667,13667,13667,13667,13667,13667,13667,13667,13667,13667,13667,13667,14396,15987,15987,15987,15987,15987,16488,18482,18482,18482,18482,18482,18482,18482,18482,20134,21922,23634,23634,24323,25798,25798,25915,28479,29644,32555,33569,34544,35696,40910,49514,65188,78938
maleblackgeographyurban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,274,274,274,274,2244,3573,3573,3573,5800,6230,6230,6230,6230,6230,8003,8476,8476,8476,9669,11068,11068,11068,11068,13230,13667,13667,13667,13667,15786,15987,15987,15987,17446,18482,18482,18482,18482,20578,20893,20893,20893,20893,22440,23634,23634,25388,25798,25798,25798,25798,27361,28479,28617,30740,30740,30740,30740,31362,33569,34899,35696,35696,35696,37446,38453,40286,40834,41449,44253,46107,46383,48464,50256,50723,51961,60616,73140,74119,77617,79370,82649,84478,89490,92770,132919
maleblackgeographyrural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,274,274,274,274,274,274,274,1379,3573,3573,3573,4406,6230,6230,6230,6230,6230,6230,6230,7289,8476,8476,8476,8476,8476,10484,11068,11068,11068,11068,11068,11068,13332,13667,13667,13667,13667,15781,15987,15987,15987,15987,16354,18482,18482,18482,18482,18482,20699,20893,20893,20893,20893,23156,23634,23634,25241,25798,25798,25798,25798,27357,28479,28479,29151,30740,30740,30740,32090,33569,35559,35696,35696,35696,38133,40834,44560,49805,52585,70307,79887,87403,157037
maleblackgeographynortheast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,274,274,274,3545,3573,3573,3974,6230,6230,6230,6230,6230,6287,8476,8476,8476,8476,8476,10989,11068,11068,11909,13667,13667,13667,13667,15416,15987,15987,15987,15987,18335,18482,18482,18482,19377,20893,20893,20893,20893,21358,23634,23634,24391,25798,25798,25798,25798,25798,26269,28479,28479,29174,30740,30740,30740,30740,33240,33569,35463,35696,35696,38246,39332,40834,40834,42707,45895,46107,46453,49187,50723,51696,57803,67867,73365,73727,78339,80227,83092,89063,90449,94772,157136
maleblackgeographymidwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,274,274,274,274,274,274,904,3573,3573,3573,4696,6230,6230,6230,6230,6230,7114,8476,8476,8476,10585,11068,11068,11068,11068,11487,13667,13667,13667,13667,13667,13974,15987,15987,15987,15987,18450,18482,18482,18482,20853,20893,20893,20893,20893,22058,23634,23634,24624,25798,25798,25798,25798,25798,27199,28479,28858,30740,30740,30740,30740,33366,33569,35689,35696,35696,37885,40257,40834,40834,44526,46107,46688,48726,50723,50723,65821,74157,78466,81404,83001,84529,90890,94549,186183
maleblackgeographysouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,274,274,274,274,921,3573,3573,3573,4410,6230,6230,6230,6230,6230,6230,7053,8476,8476,8476,8476,10457,11068,11068,11068,11068,13053,13667,13667,13667,14149,15987,15987,15987,15987,17345,18482,18482,18482,18482,19090,20893,20893,20893,20893,20893,23272,23634,24031,25798,25798,25798,25798,26658,28479,28479,29883,30740,30740,30740,30740,32885,34568,35696,35696,35696,36135,38453,38554,40834,40834,43037,45605,46277,48464,50408,50723,54629,71327,74118,77976,79703,83433,87516,91769,106755
maleblackgeographywest,0,0,0,0,0,0,0,0,0,0,0,0,0,72,274,274,274,274,274,447,3573,3573,3573,5739,6230,6230,7725,8476,8476,8476,8550,11068,11068,11068,11068,11068,12866,13667,13667,13667,13667,13679,15987,15987,15987,16157,18482,18482,18482,19642,20893,20893,20893,21665,23634,23634,24298,25798,25798,25798,26086,28479,28479,30559,30740,30740,30740,30740,32885,33569,35528,35696,35696,35696,35696,36583,38892,40834,42240,44294,46107,48428,48464,50661,50723,50723,51610,53697,55647,63800,70882,73365,75743,75839,79419,82975,83001,83623,91374,175198
maleblackeducationno-highschool,0,0,0,0,0,0,0,0,0,0,0,202,274,274,2630,3573,3573,3617,6230,6230,6230,6230,6230,6230,6230,6230,6230,6230,6230,7047,8476,8476,8476,8476,8476,8476,8476,8476,8476,8476,8889,11068,11068,11068,11068,11068,11068,11068,12036,13667,13667,13667,13667,13667,13667,13667,15155,15987,15987,15987,15987,15987,15987,15987,17839,18482,18482,18482,18482,18482,18482,19319,20893,20893,20893,20893,22037,23634,23894,25798,25798,25798,25798,27510,28479,28871,30740,30740,30740,30819,34206,35696,36630,39506,42304,45781,50682,73125,78831,87944
maleblackeducationhighschool,0,0,0,0,0,0,273,274,965,3573,3573,4840,6230,6230,6230,6230,7415,8476,8476,8703,11068,11068,11068,11068,11924,13667,13667,13667,13667,13667,15450,15987,15987,15987,15987,17793,18482,18482,18482,18482,18482,20088,20893,20893,20893,20893,20893,20893,20893,23538,23634,23634,25060,25798,25798,25798,25798,25798,26027,28479,28479,28479,30371,30740,30740,30740,30740,30980,33569,33569,35131,35696,35696,35696,35696,35696,38035,38453,39684,40834,40834,40834,43375,46027,46107,46107,48436,48940,50723,50723,50723,55758,71480,75209,78216,78939,82008,84688,91291,113174
maleblackeducationassociate,0,0,0,120,274,274,2119,5014,6230,6230,6230,8437,10101,11068,11068,11684,13667,14138,15987,16832,18482,18482,18482,18482,19094,20893,20893,20893,21868,23634,23634,23634,23634,23854,25798,25798,25798,25798,25798,25798,25798,25798,25798,26070,28479,28479,28479,28479,28479,28479,29590,30740,30740,30740,30740,30740,30740,30740,30740,30740,31171,33569,34542,35696,35696,35696,35696,35696,35696,37565,38453,38775,40834,40834,40834,40834,43365,46107,48144,48464,48464,49153,50723,50723,51983,53697,55796,70907,75180,78466,78466,79681,81027,82231,84730,85268,85268,89019,92728,151454
maleblackeducationbachelors,0,0,0,92,2466,4412,6230,6455,8476,9424,11068,11068,13556,13667,15164,15987,15987,16910,18482,18482,20800,20893,20893,20893,20893,23501,23634,23634,24889,25798,25798,25798,25798,25798,27425,28479,28479,29446,30740,30740,30740,30740,30740,30740,32947,33569,35384,35696,35696,36227,38453,38453,38943,40834,40834,40834,42821,43527,43879,46107,46107,47142,48886,50723,50723,50723,50723,53656,58165,61726,66885,73122,73365,73365,73365,73365,73365,73365,73365,75367,78314,78505,81700,83001,83001,83001,83001,84407,85268,88997,89063,89063,89253,90538,91294,94196,97850,98949,136941,207890
maleblackeducationadvanced,135,274,274,2667,5480,6230,7808,10930,11068,11068,11068,11068,12776,13667,15157,15987,18180,18761,24040,25798,27398,28672,30740,30740,30740,30740,30740,31566,33569,33569,34678,35696,35696,35696,35696,35696,35696,35696,36272,38453,38453,38453,40678,40834,42631,43527,44560,46107,46107,46107,46107,46107,47537,48464,48663,50723,50723,50917,53697,54380,57401,60532,60532,61994,65710,67122,72160,73365,73365,73365,73365,73365,75739,75839,78320,80865,81370,83001,83001,84485,88680,89063,89063,90355,90825,93072,93072,93072,93072,93072,93072,93072,94094,96426,98427,98949,156300,207890,207890,207890
